Date,Value
2024-10-15,123.16
2024-10-16,131.38
2024-10-17,124.8
2024-10-18,133.7
2024-10-19,135.32
2024-10-20,126.35
2024-10-21,121.31
2024-10-22,134.61
2024-10-23,140.71
2024-10-24,133.61
2024-10-25,132.54
2024-10-26,136.04
2024-10-27,135.98
2024-10-28,128.22
2024-10-29,129.29
2024-10-30,135.86
2024-10-31,132.31
2024-11-01,139.83
2024-11-02,129.96
2024-11-03,137.46
2024-11-04,135.65
2024-11-05,133.54
2024-11-06,140.29
2024-11-07,138.05
2024-11-08,129.86
2024-11-09,138.33
2024-11-10,142.25
2024-11-11,134.97
2024-11-12,134.63
2024-11-13,132.78
2024-11-14,136.32
2024-11-15,140.07
2024-11-16,132.81
2024-11-17,130.43
2024-11-18,135.55
2024-11-19,130.79
2024-11-20,140.57
2024-11-21,136.09
2024-11-22,129.72
2024-11-23,137.03
2024-11-24,138.08
2024-11-25,141.57
2024-11-26,138.87
2024-11-27,149.22
2024-11-28,137.57
2024-11-29,140.13
2024-11-30,140.21
2024-12-01,139.6
2024-12-02,142.02
2024-12-03,144.3
2024-12-04,148.58
2024-12-05,134.33
2024-12-06,139.92
2024-12-07,140.52
2024-12-08,147.75
2024-12-09,141.57
2024-12-10,134.18
2024-12-11,144.39
2024-12-12,144.08
2024-12-13,145.45
2024-12-14,139.65
2024-12-15,153.75
2024-12-16,143.84
2024-12-17,144.82
2024-12-18,141.57
2024-12-19,141.72
2024-12-20,140.56
2024-12-21,145.02
2024-12-22,142.5
2024-12-23,157.88
2024-12-24,138.46
2024-12-25,142.57
2024-12-26,146.52
2024-12-27,152.2
2024-12-28,147.07
2024-12-29,152.83
2024-12-30,144.83
2024-12-31,150.37
2025-01-01,159.1
2025-01-02,145.85
2025-01-03,153.09
2025-01-04,152.34
2025-01-05,140.36
2025-01-06,148.98
2025-01-07,157.89
2025-01-08,153.21
2025-01-09,146.78
2025-01-10,156.61
2025-01-11,151.06
2025-01-12,155.57
2025-01-13,155.96
2025-01-14,148.78
2025-01-15,158.63
2025-01-16,149.95
2025-01-17,148.76
2025-01-18,151.17
2025-01-19,154.16
2025-01-20,156.73
2025-01-21,152.62
2025-01-22,160.51
2025-01-23,158.34
2025-01-24,153.9
2025-01-25,162.11
2025-01-26,163.77
2025-01-27,157.76
2025-01-28,157.47
2025-01-29,149.97
2025-01-30,157.08
2025-01-31,157.95
2025-02-01,160.92
2025-02-02,159.13
2025-02-03,161.48
2025-02-04,168.21
2025-02-05,158.17
2025-02-06,158.64
2025-02-07,154.82
2025-02-08,161.6
2025-02-09,166.79
2025-02-10,153.42
2025-02-11,159.12
2025-02-12,162.89
2025-02-13,167.23
2025-02-14,165.15
2025-02-15,165.12
2025-02-16,162.63
2025-02-17,166.42
2025-02-18,169.33
2025-02-19,155.97
2025-02-20,168.4
2025-02-21,164.51
2025-02-22,162.6
2025-02-23,153.27
2025-02-24,158.83
2025-02-25,174.46
2025-02-26,162.76
2025-02-27,161.01
2025-02-28,164.38
2025-03-01,163.16
2025-03-02,167.73
2025-03-03,174.92
2025-03-04,164.62
2025-03-05,168.54
2025-03-06,162.25
2025-03-07,175.79
2025-03-08,169.35
2025-03-09,163.2
2025-03-10,173.33
2025-03-11,175.01
2025-03-12,170.01
2025-03-13,161.2
2025-03-14,178.52
2025-03-15,171.33
2025-03-16,175.82
2025-03-17,167.4
2025-03-18,168.34
2025-03-19,171.06
2025-03-20,176.25
2025-03-21,171.57
2025-03-22,164.74
2025-03-23,172.5
2025-03-24,179.5
2025-03-25,171.84
2025-03-26,172.32
2025-03-27,165.51
2025-03-28,164.96
2025-03-29,168.94
2025-03-30,170.64
2025-03-31,172.93
2025-04-01,173.38
2025-04-02,180.7
2025-04-03,173.11
2025-04-04,178.27
2025-04-05,172.88
2025-04-06,180.45
2025-04-07,163.97
2025-04-08,170.45
2025-04-09,178.48
2025-04-10,172.81
2025-04-11,178.44
2025-04-12,175.81
2025-04-13,178.72
2025-04-14,177.16
2025-04-15,177.56
2025-04-16,181.75
2025-04-17,179.31
2025-04-18,179.44
2025-04-19,174.66
2025-04-20,171.73
2025-04-21,171.42
2025-04-22,178.56
2025-04-23,162.68
2025-04-24,168.41
2025-04-25,170.2
2025-04-26,173.85
2025-04-27,161.99
2025-04-28,181.51
2025-04-29,178.27
2025-04-30,185.25
2025-05-01,180.69
2025-05-02,180.59
2025-05-03,186.74
2025-05-04,172.68
2025-05-05,168.06
2025-05-06,174.45
2025-05-07,171.53
2025-05-08,174.41
2025-05-09,170.47
2025-05-10,178.6
2025-05-11,178.35
2025-05-12,175.68
2025-05-13,177.4
2025-05-14,175.15
2025-05-15,179.64
2025-05-16,176.25
2025-05-17,174.59
2025-05-18,180.58
2025-05-19,182.25
2025-05-20,182.64
2025-05-21,171.01
2025-05-22,173.3
2025-05-23,167.46
2025-05-24,174.78
2025-05-25,178.06
2025-05-26,175.31
2025-05-27,185.63
2025-05-28,173.94
2025-05-29,170.52
2025-05-30,178.79
2025-05-31,176.69
2025-06-01,178.68
2025-06-02,177.44
2025-06-03,177.12
2025-06-04,165.28
2025-06-05,172.24
2025-06-06,172.9
2025-06-07,174.1
2025-06-08,173.57
2025-06-09,177.86
2025-06-10,178.78
2025-06-11,170.09
2025-06-12,179.16
2025-06-13,178.63
2025-06-14,178.0
2025-06-15,168.55
2025-06-16,177.82
2025-06-17,176.0
2025-06-18,180.36
2025-06-19,184.45
2025-06-20,183.43
2025-06-21,176.02
2025-06-22,175.42
2025-06-23,178.55
2025-06-24,169.79
2025-06-25,168.07
2025-06-26,172.93
2025-06-27,181.36
2025-06-28,173.57
2025-06-29,182.7
2025-06-30,161.21
2025-07-01,167.18
2025-07-02,174.47
2025-07-03,179.49
2025-07-04,174.67
2025-07-05,174.5
2025-07-06,174.34
2025-07-07,166.1
2025-07-08,180.67
2025-07-09,171.43
2025-07-10,180.26
2025-07-11,174.43
2025-07-12,180.09
2025-07-13,176.43
2025-07-14,174.15
2025-07-15,175.78
2025-07-16,167.26
2025-07-17,174.62
2025-07-18,183.14
2025-07-19,181.08
2025-07-20,169.58
2025-07-21,177.01
2025-07-22,175.7
2025-07-23,178.52
2025-07-24,174.88
2025-07-25,173.22
2025-07-26,181.02
2025-07-27,175.43
2025-07-28,180.61
2025-07-29,179.19
2025-07-30,172.68
2025-07-31,173.45
2025-08-01,183.92
2025-08-02,175.22
2025-08-03,170.46
2025-08-04,168.25
2025-08-05,179.11
2025-08-06,175.04
2025-08-07,170.27
2025-08-08,177.6
2025-08-09,175.03
2025-08-10,165.93
2025-08-11,177.18
2025-08-12,180.91
2025-08-13,187.05
2025-08-14,174.44
2025-08-15,175.44
2025-08-16,182.32
2025-08-17,175.15
2025-08-18,175.7
2025-08-19,171.19
2025-08-20,167.39
2025-08-21,178.95
2025-08-22,168.05
2025-08-23,180.15
2025-08-24,170.54
2025-08-25,175.84
2025-08-26,172.69
2025-08-27,180.46
2025-08-28,176.14
2025-08-29,184.47
2025-08-30,169.3
2025-08-31,176.84
2025-09-01,175.06
2025-09-02,176.28
2025-09-03,182.91
2025-09-04,177.92
2025-09-05,169.32
2025-09-06,177.79
2025-09-07,173.11
2025-09-08,172.89
2025-09-09,180.56
2025-09-10,172.39
2025-09-11,173.58
2025-09-12,175.73
2025-09-13,180.38
2025-09-14,178.64
2025-09-15,174.65
2025-09-16,174.56
2025-09-17,170.21
2025-09-18,172.31
2025-09-19,172.94
2025-09-20,175.57
2025-09-21,186.36
2025-09-22,173.16
2025-09-23,175.17
2025-09-24,166.5
2025-09-25,179.88
2025-09-26,169.11
2025-09-27,172.59
2025-09-28,182.47
2025-09-29,166.86
2025-09-30,178.0
2025-10-01,181.66
2025-10-02,185.42
2025-10-03,173.34
2025-10-04,174.96
2025-10-05,187.25
2025-10-06,178.26
2025-10-07,174.85
2025-10-08,175.1
2025-10-09,173.99
2025-10-10,176.82
2025-10-11,184.62
2025-10-12,183.79
2025-10-13,173.65
2025-10-14,180.77
2025-10-15,177.86
2025-10-16,183.97
2025-10-17,179.46
2025-10-18,182.28
2025-10-19,179.82
2025-10-20,169.87
2025-10-21,181.23
2025-10-22,174.84
2025-10-23,185.13
2025-10-24,178.2
2025-10-25,178.78
2025-10-26,181.97
2025-10-27,185.11
2025-10-28,181.59
2025-10-29,190.87
2025-10-30,191.12
2025-10-31,191.67
2025-11-01,182.15
2025-11-02,176.14
2025-11-03,189.88
2025-11-04,181.92
2025-11-05,184.43
2025-11-06,187.62
2025-11-07,176.69
2025-11-08,193.1
2025-11-09,189.58
2025-11-10,187.21
2025-11-11,190.15
2025-11-12,188.73
2025-11-13,186.78
2025-11-14,184.91
2025-11-15,183.01
2025-11-16,188.41
2025-11-17,189.04
2025-11-18,192.91
2025-11-19,188.76
2025-11-20,183.76
2025-11-21,180.41
2025-11-22,187.93
2025-11-23,188.7
2025-11-24,188.62
2025-11-25,181.74
2025-11-26,195.04
2025-11-27,195.31
2025-11-28,186.11
2025-11-29,194.54
2025-11-30,195.56
2025-12-01,191.28
2025-12-02,186.63
2025-12-03,199.73
2025-12-04,193.86
2025-12-05,190.99
2025-12-06,196.4
2025-12-07,200.94
2025-12-08,190.64
2025-12-09,196.88
2025-12-10,203.44
2025-12-11,188.44
2025-12-12,191.57
2025-12-13,191.63
2025-12-14,194.13
2025-12-15,194.17
2025-12-16,197.03
2025-12-17,191.73
2025-12-18,193.02
2025-12-19,197.95
2025-12-20,197.52
2025-12-21,201.42
2025-12-22,199.41
2025-12-23,201.53
2025-12-24,192.26
2025-12-25,196.37
2025-12-26,207.83
2025-12-27,200.86
2025-12-28,202.95
2025-12-29,200.88
2025-12-30,201.95
